,player
0,A Ashish Reddy
1,A Badoni
2,A Chandila
3,A Chopra
4,A Choudhary
5,A Dananjaya
6,A Flintoff
7,A Kamboj
8,A Kumble
9,A Manohar
10,A Mhatre
11,A Mishra
12,A Mithun
13,A Mukund
14,A Nehra
15,A Nel
16,A Nortje
17,A Raghuvanshi
18,A Singh
19,A Symonds
20,A Tomar
21,A Uniyal
22,A Zampa
23,AA Bilakhia
24,AA Chavan
25,AA Jhunjhunwala
26,AA Kazi
27,AA Kulkarni
28,AA Noffke
29,AB Agarkar
30,AB Barath
31,AB Dinda
32,AB McDonald
33,AB de Villiers
34,AC Blizzard
35,AC Gilchrist
36,AC Thomas
37,AC Voges
38,AD Hales
39,AD Mascarenhas
40,AD Mathews
41,AD Nath
42,AD Russell
43,AF Milne
44,AG Murtaza
45,AG Paunikar
46,AJ Finch
47,AJ Hosein
48,AJ Turner
49,AJ Tye
50,AK Markram
51,AL Menaria
52,AM Nayar
53,AM Rahane
54,AM Salvi
55,AN Ahmed
56,AN Ghosh
57,AP Dole
58,AP Majumdar
59,AP Tare
60,AR Bawne
61,AR Patel
62,AS Joseph
63,AS Rajpoot
64,AS Raut
65,AS Roy
66,AS Yadav
67,AT Carey
68,AT Rayudu
69,AU Rashid
70,AUK Pathan
71,Abdul Basith
72,Abdul Samad
73,Abdur Razzak
74,Abhishek Sharma
75,Abishek Porel
76,Akash Deep
77,Akash Madhwal
78,Akash Singh
79,Aman Hakim Khan
80,Anand Rajan
81,Aniket Verma
82,Anirudh Singh
83,Ankit Sharma
84,Ankit Soni
85,Anmolpreet Singh
86,Anuj Rawat
87,Anureet Singh
88,Arjun Tendulkar
89,Arshad Khan
90,Arshad Khan (2)
91,Arshdeep Singh
92,Ashutosh Sharma
93,Ashwani Kumar
94,Atharva Taide
95,Avesh Khan
96,Azhar Mahmood
97,Azmatullah Omarzai
98,B Akhil
99,B Chipli
100,B Geeves
101,B Indrajith
102,B Kumar
103,B Laughlin
104,B Lee
105,B Sai Sudharsan
106,B Stanlake
107,B Sumanth
108,BA Bhatt
109,BA Stokes
110,BAW Mendis
111,BB McCullum
112,BB Samantray
113,BB Sran
114,BCJ Cutting
115,BE Hendricks
116,BJ Haddin
117,BJ Hodge
118,BJ Rohrer
119,BKG Mendis
120,BMAJ Mendis
121,BR Dunk
122,BR Sharath
123,BW Hilfenhaus
124,Basil Thampi
125,Bipul Sharma
126,C Bosch
127,C Ganapathy
128,C Green
129,C Madan
130,C Munro
131,C Nanda
132,C Sakariya
133,C de Grandhomme
134,CA Ingram
135,CA Lynn
136,CA Pujara
137,CH Gayle
138,CH Morris
139,CJ Anderson
140,CJ Dala
141,CJ Ferguson
142,CJ Green
143,CJ Jordan
144,CJ McKay
145,CK Kapugedera
146,CK Langeveldt
147,CL White
148,CM Gautam
149,CR Brathwaite
150,CR Woakes
151,CRD Fernando
152,CV Varun
153,D Brevis
154,D Ferreira
155,D Jansen
156,D Kalyankrishna
157,D Padikkal
158,D Pretorius
159,D Salunkhe
160,D Wiese
161,D du Preez
162,DA Miller
163,DA Warner
164,DAJ Bracewell
165,DB Das
166,DB Ravi Teja
167,DE Bollinger
168,DG Nalkande
169,DH Yagnik
170,DJ Bravo
171,DJ Harris
172,DJ Hooda
173,DJ Hussey
174,DJ Jacobs
175,DJ Malan
176,DJ Mitchell
177,DJ Muthuswami
178,DJ Thornely
179,DJ Willey
180,DJG Sammy
181,DJM Short
182,DL Chahar
183,DL Vettori
184,DM Bravo
185,DNT Zoysa
186,DP Conway
187,DP Nannes
188,DP Vijaykumar
189,DPMD Jayawardene
190,DR Martyn
191,DR Sams
192,DR Shorey
193,DR Smith
194,DS Kulkarni
195,DS Lehmann
196,DS Rathi
197,DT Christian
198,DT Patil
199,DW Steyn
200,Dhruv Jurel
201,E Lewis
202,E Malinga
203,EJG Morgan
204,ER Dwivedi
205,F Behardien
206,F du Plessis
207,FA Allen
208,FH Edwards
209,FY Fazal
210,Fazalhaq Farooqi
211,G Coetzee
212,G Gambhir
213,GB Hogg
214,GC Smith
215,GC Viljoen
216,GD McGrath
217,GD Phillips
218,GH Vihari
219,GHS Garton
220,GJ Bailey
221,GJ Maxwell
222,GR Napier
223,GS Sandhu
224,Gagandeep Singh
225,Gulbadin Naib
226,Gurkeerat Singh
227,Gurnoor Brar
228,H Das
229,H Klaasen
230,H Sharma
231,HC Brook
232,HE van der Dussen
233,HF Gurney
234,HH Gibbs
235,HH Pandya
236,HM Amla
237,HR Shokeen
238,HV Patel
239,Harbhajan Singh
240,Harmeet Singh
241,Harmeet Singh (2)
242,Harpreet Brar
243,Harpreet Singh
244,Harsh Dubey
245,Harshit Rana
246,I Malhotra
247,I Sharma
248,I Udana
249,IC Pandey
250,IC Porel
251,IK Pathan
252,IR Jaggi
253,IS Sodhi
254,Imran Tahir
255,Iqbal Abdulla
256,Ishan Kishan
257,J Arunkumar
258,J Botha
259,J Fraser-McGurk
260,J Little
261,J Overton
262,J Suchith
263,J Syed Mohammad
264,J Theron
265,J Yadav
266,JA Morkel
267,JA Richardson
268,JC Archer
269,JC Buttler
270,JD Ryder
271,JD Unadkat
272,JDP Oram
273,JDS Neesham
274,JE Root
275,JE Taylor
276,JEC Franklin
277,JG Bethell
278,JH Kallis
279,JJ Bumrah
280,JJ Roy
281,JJ van der Wath
282,JL Denly
283,JL Pattinson
284,JM Bairstow
285,JM Kemp
286,JM Sharma
287,JO Holder
288,JP Behrendorff
289,JP Duminy
290,JP Faulkner
291,JP Inglis
292,JPR Scantlebury-Searles
293,JR Hazlewood
294,JR Hopes
295,JR Philippe
296,JW Hastings
297,Jalaj S Saxena
298,Jaskaran Singh
299,Joginder Sharma
300,K Goel
301,K Gowtham
302,K Kartikeya
303,K Khejroliya
304,K Rabada
305,K Santokie
306,K Upadhyay
307,K Yadav
308,KA Jamieson
309,KA Maharaj
310,KA Pollard
311,KAJ Roach
312,KB Arun Karthik
313,KC Cariappa
314,KC Sangakkara
315,KD Karthik
316,KH Pandya
317,KJ Abbott
318,KK Ahmed
319,KK Cooper
320,KK Nair
321,KL Nagarkoti
322,KL Rahul
323,KM Asif
324,KM Jadhav
325,KMA Paul
326,KMDN Kulasekara
327,KP Appanna
328,KP Pietersen
329,KR Mayers
330,KR Sen
331,KS Bharat
332,KS Rathore
333,KS Sharma
334,KS Williamson
335,KT Maphaka
336,KV Sharma
337,KW Richardson
338,Kamran Akmal
339,Kamran Khan
340,Karanveer Singh
341,Karim Janat
342,Kartik Tyagi
343,Kuldeep Yadav
344,Kumar Kushagra
345,L Ablish
346,L Balaji
347,L Ngidi
348,L Ronchi
349,L Wood
350,LA Carseldine
351,LA Pomersbach
352,LB Williams
353,LE Plunkett
354,LH Ferguson
355,LI Meriwala
356,LJ Wright
357,LMP Simmons
358,LPC Silva
359,LR Shukla
360,LRPL Taylor
361,LS Livingstone
362,Lalit Yadav
363,Liton Das
364,M Ashwin
365,M Jansen
366,M Kaif
367,M Kartik
368,M Klinger
369,M Manhas
370,M Markande
371,M Morkel
372,M Muralitharan
373,M Ntini
374,M Pathirana
375,M Prasidh Krishna
376,M Rawat
377,M Shahrukh Khan
378,M Siddharth
379,M Theekshana
380,M Tiwari
381,M Vijay
382,M Vohra
383,M de Lange
