player,innings,runs,balls,fours,sixes,dismissals,average,strike_rate,boundary_rate,balls_bowled,runs_conceded,wickets,overs,economy,bowling_avg,bowling_strike_rate,batting_strength,bowling_strength,overall_strength
A Ashish Reddy,28,280.0,193.0,16.0,15.0,15.0,18.666666666666668,145.0777202072539,0.16062176165803108,264.0,400.0,19.0,44.0,9.090909090909092,21.05263157894737,13.894736842105264,55.50241796200345,6.787121212121212,62.28953917412466
A Badoni,48,963.0,695.0,73.0,38.0,36.0,26.75,138.5611510791367,0.15971223021582734,35.0,50.0,4.0,5.5,8.571428571428571,12.5,8.75,56.66258992805756,-0.5485714285714283,56.11401849948613
A Chandila,12,4.0,7.0,0.0,0.0,0.0,4.0,57.142857142857146,0.0,234.0,245.0,11.0,39.0,6.282051282051282,22.272727272727273,21.272727272727273,19.942857142857143,3.624786324786325,23.567643467643467
A Chopra,6,53.0,71.0,7.0,0.0,6.0,8.833333333333334,74.64788732394366,0.09859154929577464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.899530516431927,0.2,28.099530516431926
A Choudhary,5,25.0,20.0,1.0,1.0,1.0,25.0,125.0,0.1,102.0,144.0,5.0,17.0,8.470588235294118,28.8,20.4,49.9,-0.0313725490196077,49.86862745098039
A Dananjaya,1,4.0,5.0,0.0,0.0,0.0,4.0,80.0,0.0,24.0,47.0,0.0,4.0,11.75,47.0,24.0,25.700000000000003,-3.5166666666666666,22.183333333333337
A Flintoff,3,62.0,53.0,5.0,2.0,2.0,31.0,116.98113207547169,0.1320754716981132,66.0,106.0,2.0,11.0,9.636363636363637,53.0,33.0,50.23584905660377,-1.884848484848485,48.351000571755286
A Kamboj,11,16.0,14.0,2.0,0.0,2.0,8.0,114.28571428571429,0.14285714285714285,192.0,288.0,10.0,32.0,9.0,28.8,19.2,41.24285714285714,2.310416666666667,43.55327380952381
A Kumble,42,35.0,47.0,3.0,0.0,3.0,11.666666666666666,74.46808510638297,0.06382978723404255,970.0,1089.0,49.0,161.4,6.736082474226804,22.224489795918366,19.79591836734694,32.18368794326241,22.489278350515466,54.672966293777876
A Manohar,20,292.0,235.0,23.0,14.0,19.0,15.368421052631579,124.25531914893617,0.1574468085106383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.672900335946245,0.2,46.87290033594625
A Mhatre,7,240.0,127.0,31.0,11.0,7.0,34.285714285714285,188.9763779527559,0.33070866141732286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.02137232845894,0.2,77.22137232845894
A Mishra,162,381.0,419.0,31.0,5.0,30.0,12.7,90.9307875894988,0.08591885441527446,3392.0,4193.0,183.0,565.2,7.416863207547169,22.91256830601093,18.53551912568306,47.27761336515513,89.28573113207547,136.56334449723062
A Mithun,16,34.0,26.0,4.0,1.0,5.0,6.8,130.76923076923077,0.19230769230769232,297.0,477.0,8.0,49.3,9.636363636363637,59.625,37.125,46.89692307692308,1.1144781144781144,48.0114011914012
A Mukund,2,19.0,22.0,1.0,0.0,2.0,9.5,86.36363636363636,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.618181818181817,0.2,30.818181818181817
A Nehra,88,41.0,62.0,3.0,1.0,7.0,5.857142857142857,66.12903225806451,0.06451612903225806,1917.0,2537.0,121.0,319.3,7.940532081377151,20.96694214876033,15.84297520661157,31.571889400921656,58.13046426708398,89.70235366800563
A Nel,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,31.0,1.0,3.0,10.333333333333334,31.0,18.0,0.1,-2.588888888888889,-2.488888888888889
A Nortje,48,49.0,49.0,6.0,0.0,6.0,8.166666666666666,100.0,0.12244897959183673,1104.0,1701.0,63.0,184.0,9.244565217391305,27.0,17.523809523809526,39.9156462585034,28.73804347826087,68.65368973676428
A Raghuvanshi,18,463.0,320.0,46.0,16.0,16.0,28.9375,144.6875,0.19375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.056250000000006,0.2,59.25625000000001
A Singh,23,2.0,10.0,0.0,0.0,4.0,0.5,20.0,0.0,474.0,639.0,31.0,79.0,8.08860759493671,20.612903225806452,15.290322580645162,8.1,13.086497890295359,21.186497890295357
